Bodywash Name,Gender,Bodywash Notes (normalized),Recommended Perfume,Matched Notes,Match Strength (0-100),Perfume Notes (first 12),Reasoning
https://i5.walmartimages.com/seo/Axe-Apollo-Refreshing-Daily-Use-Men-s-Body-Wash-Sage-and-Cedarwood-32-fl-oz_ce3b8b2d-ee81-42d3-bfa6-1f8c74f2969c.34a3b63418478ef4297f4619a73a35fe.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF,Men,"cedar, sandalwood, wood, ozone, sage, rosemary, herbal, charcoal",Haxan Eau de Parfum,"cedar → cedar (exact), sandalwood → sandalwood (exact), wood → wormwood (fuzzy), sage → sage (exact), rosemary → rosemary (exact)",60.0,"chamomile, saffron, galbanum, lavender, rosemary, clary sage, marjoram, wormwood, sage, jasmine, cypress, fir balsam","Shares key notes (cedar → cedar, sandalwood → sandalwood, wood → wormwood, sage → sage); overall match strength 60.0/100."
https://i5.walmartimages.com/seo/AXE-Shower-Tool-Detailer-Skin-Cleanser-Smoother-Skin-Exfoliates-Gently-Cleanses-1-Count_3d411766-f3d8-42ee-bd52-4bcdacc2397f.039fc9b253f6a545d7d7c54d1e83e522.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF,Men,musk,Velvet Fantasy Eau de Parfum,musk → musk (exact),100.0,"tangerine, pink pepper, black coffee, leather, violet, jasmine, lily of the valley, heliotrope powder, vanilla, amber, sandalwood, toffee",Shares key notes (musk → musk); overall match strength 100.0/100.
https://i5.walmartimages.com/seo/Cremo-Mens-Body-Wash-Mulled-Pomgranate-16-fl-oz_fba99b80-1d1b-4359-b0d9-e3d1a87306f6.73a028d8ed8a2a46b8ba6c23c9264b29.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF,Men,charcoal,Tihota Eau de Parfum,,0.0,"vanilla, musks",Recommended based on closest note overlap; overall match strength 0.0/100.
https://i5.walmartimages.com/seo/Axe-Phoenix-Refreshing-Long-Lasting-Men-s-Body-Wash-Twin-Pack-Crushed-Mint-and-Rosemary-16-fl-oz_d0888b5b-3adc-4fa3-b7ae-5c366e51264c.cf7d2be4da942d4e1ac32d3eabbd02cb.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF,Men,"ozone, sage, rosemary, herbal, floral, charcoal",Tahiti Vanilla Parfum,"sage → sage (exact), rosemary → rosemary (exact)",33.3,"bergamot, key lime, sage, rosemary, tahitian vanilla, jasmine, neroli, mimosa, ylang ylang, patchouly, sandalwood, vetiver","Shares key notes (sage → sage, rosemary → rosemary); overall match strength 33.3/100."
https://i5.walmartimages.com/seo/Old-Spice-Men-s-Body-Wash-Krakengard-33-4-fl-oz_f26e5956-fd76-41bb-8599-088c5852e408.e7beb544e8fbb7a2d2f069b248692f9f.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF,Men,"pepper, cardamom, ozone, musk, charcoal",Mon Nom Est Rouge Eau de Parfum,"pepper → pepper (exact), cardamom → cardamom (exact), musk → musk (exact)",60.0,"pepper, lemon, elemi, pink pepper, metallic affect, rose, geranium, cardamom, cumin, cinnamon, ginger, incense","Shares key notes (pepper → pepper, cardamom → cardamom, musk → musk); overall match strength 60.0/100."
https://i5.walmartimages.com/seo/Old-Spice-High-Endurance-Men-s-3in1-Shampoo-Conditioner-Body-Wash-24-fl-oz_a253ef30-9c59-4195-81ed-6ee067d4cdae.01a165a4ac772cbcfe5e9c1d790da6f2.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF,Men,"pepper, cardamom, ozone, charcoal",Mohur Extrait Parfum Extrait,"pepper → pepper (exact), cardamom → cardamom (exact)",50.0,"cardamom, coriander, ambrette, carrot seeds, pepper, elemi, iris, jasmine, rose, violet, almond, leather","Shares key notes (pepper → pepper, cardamom → cardamom); overall match strength 50.0/100."
https://i5.walmartimages.com/seo/Old-Spice-Body-Wash-for-Men-Krakengard-24-fl-oz_62a3388d-8c17-499f-98ba-c32b374107a2.886a2b79e9dc98250cd2911979ea0200.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF,Men,"pepper, cardamom, ozone, charcoal",Mohur Extrait Parfum Extrait,"pepper → pepper (exact), cardamom → cardamom (exact)",50.0,"cardamom, coriander, ambrette, carrot seeds, pepper, elemi, iris, jasmine, rose, violet, almond, leather","Shares key notes (pepper → pepper, cardamom → cardamom); overall match strength 50.0/100."
https://i5.walmartimages.com/seo/Every-Man-Jack-Crimson-Oak-Hydrating-Mens-Body-Wash-for-All-Skin-Types-16-9oz_08e95f83-3894-4179-bfb9-deb9b886a2ad.a54de852d9aa154cd8566fd671663337.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF,Men,"cedar, sandalwood, wood, charcoal",Interlude Black Iris Eau de Parfum,"cedar → cedar (exact), sandalwood → sandalwood (exact), wood → agarwood smoke (fuzzy)",70.0,"bergamot, rosemary, violet leaves, orris, amber, frankincense, cistus, myrrh, vanilla, leather, agarwood smoke, patchouli","Shares key notes (cedar → cedar, sandalwood → sandalwood, wood → agarwood smoke); overall match strength 70.0/100."
https://i5.walmartimages.com/seo/Method-Men-Body-Wash-Sandalwood-Vetiver-18-oz_b2c96d6d-9546-4613-b11c-c3225a0e8245.d150ca0037c100c388869d76e320c542.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF,Men,"cedar, sandalwood, wood, charcoal",Interlude Black Iris Eau de Parfum,"cedar → cedar (exact), sandalwood → sandalwood (exact), wood → agarwood smoke (fuzzy)",70.0,"bergamot, rosemary, violet leaves, orris, amber, frankincense, cistus, myrrh, vanilla, leather, agarwood smoke, patchouli","Shares key notes (cedar → cedar, sandalwood → sandalwood, wood → agarwood smoke); overall match strength 70.0/100."
https://i5.walmartimages.com/seo/AXE-Men-s-Liquid-Body-Wash-Shower-Gel-with-Pump-Phoenix-Crushed-Mint-Rosemary-32-oz_3eeacb07-45fb-4c7a-a0c3-ec6d74622749.4429b35f1c66119e684bb6376fc16f4c.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF,Men,"sage, rosemary, herbal, floral, charcoal",Tahiti Vanilla Parfum,"sage → sage (exact), rosemary → rosemary (exact)",40.0,"bergamot, key lime, sage, rosemary, tahitian vanilla, jasmine, neroli, mimosa, ylang ylang, patchouly, sandalwood, vetiver","Shares key notes (sage → sage, rosemary → rosemary); overall match strength 40.0/100."
https://i5.walmartimages.com/seo/Axe-Black-Refreshing-Daily-Use-Men-s-Body-Wash-Frozen-Pear-and-Cedarwood-32-fl-oz_a4201f8e-b03e-4c53-a7bf-375dbc88f52f.fdd8c0103202de82f7f3d678ae30b85a.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF,Men,"amber, cedar, sandalwood, wood, ozone, charcoal",Interlude Black Iris Eau de Parfum,"amber → amber (exact), cedar → cedar (exact), sandalwood → sandalwood (exact), wood → agarwood smoke (fuzzy)",63.3,"bergamot, rosemary, violet leaves, orris, amber, frankincense, cistus, myrrh, vanilla, leather, agarwood smoke, patchouli","Shares key notes (amber → amber, cedar → cedar, sandalwood → sandalwood, wood → agarwood smoke); overall match strength 63.3/100."
https://i5.walmartimages.com/seo/Dove-Men-Care-Exfoliating-Deep-Clean-Face-Body-Wash-for-Men-Citrus-Cedarwood-30-oz_79996417-695c-4310-9455-d7edc5834b38.3469bfc4e3cdb42a0295121dfd457c02.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF,Men,"bergamot, lemon, citrus, cedar, sandalwood, wood, musk, charcoal",Scandal Parfum Cologne,"bergamot → bergamot (exact), lemon → lemon (exact), cedar → cedar (exact), sandalwood → sandalwood (exact), wood → casmir wood (fuzzy), musk → musk (exact)",72.5,"lemon, bergamot, petitgrain, spearmint, lavender, basil, tarragon, lily of the valley, rose, jasmin de grasse, violet, rhubarb","Shares key notes (bergamot → bergamot, lemon → lemon, cedar → cedar, sandalwood → sandalwood); overall match strength 72.5/100."
https://i5.walmartimages.com/seo/Old-Spice-Men-s-Body-Wash-for-Men-Himalayan-Sea-Salt-24-7-Fresh-Exfoliation-Moisturization-26oz_ada2fde5-f034-4760-a4ef-c297975747cf.61a88a5693c20bae36a645cfe48b0817.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF,Men,"pepper, cardamom, ozone, charcoal",Mohur Extrait Parfum Extrait,"pepper → pepper (exact), cardamom → cardamom (exact)",50.0,"cardamom, coriander, ambrette, carrot seeds, pepper, elemi, iris, jasmine, rose, violet, almond, leather","Shares key notes (pepper → pepper, cardamom → cardamom); overall match strength 50.0/100."
https://i5.walmartimages.com/seo/Cremo-Mens-Body-Wash-Fireside-Vanilla-Scent-16-fl-oz_a12b33af-da9e-46ba-8c3c-6a7b6b56097a.1469135d37ae92887c2a65313201c11f.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF,Men,"vanilla, amber, pine, fir, charcoal",Coup de Foudre Eau de Parfum,"vanilla → vanilla (exact), amber → amber (exact), pine → pine (exact)",60.0,"bergamot, lemon, sweet orange, white grapefruit, green tea, black pepper, jasmine, rose, lily-of-the-valley, champaca, ylang-ylang, tuberose","Shares key notes (vanilla → vanilla, amber → amber, pine → pine); overall match strength 60.0/100."
